id,Food,Measure,,Protein,Carb.,Fiber,Fat,Sat. fat
1,"Cows' milk, whole",1,qt.,32,48,0,40,36
2,"Cow’s milk, skim",1,qt.,36,52,0,0,0
3,"Buttermilk, cultured",1,cup,9,13,0,5,4
4,"Evaporated, undiluted",1,cup,16,24,0,20,18
5,Fortified milk,6,cups,89,119,1.4,42,23
6,"Powdered milk, whole",1,cup,27,39,0,28,24
7,"Powdered milk, skim, instant",4/3,cups,30,42,0,0,0
8,"Goats' milk, fresh",1,cup,8,11,0,10,8
9,Malted milk Cocoa,1,cup,8,26,0,11,10
10,"Yogurt, of partially skim. milk",1,cup,18,13,1,4,3
11,Milk pudding (cornstarch),1,cup,9,40,0,10,9
12,"Milk pudding Custard, baked",1,cup,13,28,0,14,11
13,"Ice cream, commercial",1,cup,6,29,0,18,16
14,"Ice milk, commercial",1,cup,9,32,0,10,9
15,"Cream, light, or half-and-half",1/2,cup,4,5,0,15,13
16,"Cream, heavy, or whipping",1/2,cup,2,3,1,44,27
17,"Cheese, cottage, creamed",1,cup,30,6,0,11,10
18,"Cheddar, or American",1-in.,cube,4,0,0,6,5
19,"Cheddar, grated cup",1/2,cup,14,1,0,19,17
20,Cream cheese,1,oz.,2,1,0,11,10
21,Processed cheese,1,oz.,7,0,0,9,8
22,Roquefort type,1,oz.,6,0,0,9,8
23,Swiss,1,oz.,7,0,0,8,7
24,"Eggs, boiled, poached, or raw",2,,12,0,0,12,10
25,"Eggs, Scrambled, omelet, or fried",2,,13,1,0,16,14
26,"Eggs, Yolks only",2,,6,0,0,10,8
27,Butter,1T.,,0,0,0,11,10
28,Hydrogenated cooking fat,1/2,cup,0,0,0,100,88
29,Lard,1/2,cup,0,0,0,110,92
30,"Margarine, 1/2 pound or",1/2,cup,0,0,0,91,76
31,"Margarine, 2 pat or",1,T.,0,0,0,11,9
32,Mayonnaise,1,T.,0,0,0,12,5
33,"corn oil, peanut oil, soy oil or cottonseed",1,T.,0,0,0,14,5
34,Olive oil,1T.,,0,0,0,14,3
35,"Safflower, sunflower oil",1,T.,0,0,0,14,3
36,French salad dressing,1,T.,0,2,0,6,2
37,Thousand Island salad dressing,1,T.,0,1,0,8,3
38,Salt pork,2,oz.,3,0,0,55,
39,"Bacon, crisp, drained",2,slices,4,1,0,8,7
40,"Beef, chuck, pat-roasted",3,oz.,23,0,0,16,15
41,"Beef, Hamburger, commercial",3,oz.,21,0,0,17,15
42,"Beef, Ground lean",3,oz.,24,0,0,10,9
43,"Roast beef, oven-cooked",3,oz.,16,0,0,36,35
44,"Steak, as sirloin",3,oz.,20,0,0,27,25
45,"Steak, lean, as round",3,oz.,24,0,0,12,11
46,Corned beef,3,oz.,22,0,0,10,9
47,"Corned beef hash, canned",3,oz.,12,6,0,8,7
48,"Beef, Dried or chipped",2,oz.,19,0,0,4,4
