name,measure,unit,grams,calories,protein,carbs,fiber,fat,sat_fat
"Almonds, dried",0.5,cup,70,425.00,13.00,13.00,1.80,38.00,28.00
"Apple juice, fresh or canned",0.5,cup,125,62.50,0.00,17.00,0.00,0.00,0.00
Apple vinegar,0.5,cup,150,21.00,0.00,4.50,0.00,0.00,0.00
"Apples, raw",1,piece,130,70.00,0.00,18.00,1.00,0.00,0.00
"Apples, stewed or canned",0.5,cup,120,50.00,0.00,13.00,1.00,0.00,0.00
"Apricots, canned In syrup",0.5,cup,125,110.00,1.00,28.50,0.50,0.00,0.00
"Apricots, Dried, uncooked",0.5,cup,75,220.00,4.00,50.00,1.00,0.00,0.00
"Apricots, Fresh",1,piece,38,18.33,0.33,4.67,0.23,0.00,0.00
"Artichoke, globe",1,piece,100,44.00,2.00,10.00,2.00,0.00,0.00
"Asparagus, green",1,piece,16,3.00,0.17,0.50,0.08,0.00,0.00
Avocado,1,piece,216,370.00,4.00,12.00,3.60,36.00,24.00
"Bacon, crisp, drained",1,piece,8,47.50,2.00,0.50,0.00,4.00,3.50
Banana,1,piece,150,85.00,1.00,23.00,0.90,0.00,0.00
Bean soups,0.5,cup,125,95.00,4.00,15.00,0.30,2.50,2.00
"Bean sprouts, uncooked",0.5,cup,25,8.50,0.50,1.50,0.15,0.00,0.00
"Beans, green snap",0.5,cup,62.5,12.50,0.50,3.00,0.40,0.00,0.00
Beef and vegetable,0.5,cup,125,50.00,3.00,5.50,0.25,2.00,2.00
"Beef, chuck, pat-roasted",1,tablespoon,14,40.35,3.79,0.00,0.00,2.64,2.47
"Beef, Dried or chipped",1,tablespoon,14,28.75,4.75,0.00,0.00,1.00,1.00
"Beef, Ground lean",1,tablespoon,14,30.47,3.95,0.00,0.00,1.65,1.48
"Beef, Hamburger, commercial",1,tablespoon,14,40.35,3.46,0.00,0.00,2.80,2.47
Beer (4% alcohol),0.5,cup,120,57.00,0.00,2.00,0.00,0.00,0.00
"Beet greens, steamed",0.5,cup,50,13.50,1.00,3.00,0.70,0.00,0.00
"Beetroots, boiled",0.5,cup,82.5,0.50,6.00,0.40,0.00,0.00,0.00
"Biscuits, 2 1/2 inch diameters",1,piece,38,130.00,3.00,18.00,0.00,4.00,3.00
"Blackberries, fresh",0.5,cup,72,42.50,1.00,9.50,3.30,0.50,0.00
"Blueberries, canned",0.5,cup,125,122.50,0.50,32.50,1.00,0.00,0.00
"Bouillon, broth",0.5,cup,120,12.00,2.50,0.00,0.00,0.00,0.00
Bran flakes,0.5,cup,12.5,58.50,1.50,16.00,0.05,0.00,0.00
"Brazil nuts, unsalted",0.5,cup,70,457.00,10.00,7.00,2.00,47.00,31.00
Bread pudding with raisins,0.5,cup,133.33,249.33,7.33,37.33,0.13,8.00,7.33
"Bread, cracked wheat",1,slice,23,60.00,2.00,12.00,0.10,1.00,1.00
"Bread, Rye",1,slice,23,55.73,2.00,12.00,0.10,1.00,1.00
"Bread, Whole-wheat",1,slice,23,55.00,2.00,11.00,0.31,1.00,0.00
"Broccoli, steamed",0.5,cup,75,22.50,2.50,4.00,0.95,0.00,0.00
"Brussels sprouts, steamed Cabbage",0.5,cup,65,30.00,3.00,6.00,0.85,0.00,0.00
Butter,1,tablespoon,14,100.00,0.00,0.00,0.00,11.00,10.00
"Buttermilk, cultured",0.5,cup,123,63.50,4.50,6.50,0.00,2.50,2.00
"Cakes, angel food",1,slice,40,110.00,3.00,23.00,0.00,0.00,0.00
"Candy, caramels",1,piece,5,20.80,0.00,3.80,0.00,0.60,0.60
"Cane, refined",1,tablespoon,20,50.00,0.00,13.00,0.00,0.00,0.00
Cantaloupe,1,slice,95,10.00,0.25,2.25,0.55,0.00,0.00
"Carrots, cooked, diced",0.5,cup,75,22.50,0.50,5.00,0.45,0.00,0.00
"Cashews, unsalted",0.5,cup,70,392.00,12.00,20.00,0.90,32.00,28.00
"Cauliflower, steamed",0.5,cup,60,15.00,1.50,3.00,0.50,0.00,0.00
"Celery, cooked, diced",0.5,cup,50,10.00,0.50,2.00,0.50,0.00,0.00
"Chard steamed, leaves and stalks",0.5,cup,75,15.00,1.00,3.50,0.70,0.00,0.00
"Cheddar, grated cup",0.5,cup,56,226.00,14.00,1.00,0.00,19.00,17.00
"Cheese, cottage, creamed",0.5,cup,112.5,120.00,15.00,3.00,0.00,5.50,5.00
"Cherries, canned, pitted",0.5,cup,128.5,50.00,1.00,13.00,1.00,0.50,0.00
"Chicken livers, fried, medium",1,piece,112,156.80,24.64,2.56,0.00,15.68,13.44
chicken or turkey,0.5,cup,125,37.50,2.00,5.00,0.00,1.00,1.00
"Chicken, Fried, breast or leg and thigh",1,piece,112,322.82,32.96,0.00,0.00,19.76,14.48
"Chicken, Roasted",1,piece,112,324.80,28.00,0.00,0.00,22.40,17.92
chicken; broiled,1,piece,112,243.76,30.32,0.00,0.00,11.84,9.20
Chocolate creams,1,piece,15,65.00,0.00,12.00,0.00,2.00,2.00
Chocolate fudge w/ icing,1,slice,120,420.00,5.00,70.00,0.30,14.00,12.00
Chocolate syrup,1,tablespoon,20,40.00,0.00,11.00,0.00,0.00,0.00
"Clam chowder, without milk",0.5,cup,127.5,42.50,2.50,6.00,0.25,1.00,4.00
"Clams, steamed or canned",1,piece,112,114.64,15.84,2.64,0.00,1.28,0.00
Club soda,0.5,cup,120,0.00,0.00,0.00,0.00,0.00,0.00
"Coconut, shredded, sweetened",0.5,cup,50,274.00,1.00,26.00,2.00,20.00,19.00
"Cod, broiled",1,piece,112,190.40,31.36,0.00,0.00,5.60,0.00
"Coffee, black, unsweetened",0.5,cup,115,1.50,0.00,0.50,0.00,0.00,0.00
"Cola drinks, sweetened",0.5,cup,120,47.51,0.00,13.18,0.00,0.00,0.00
"Collards, steamed leaves",0.5,cup,75,25.50,2.50,4.00,1.00,0.00,0.00
cooked or canned,0.5,cup,100,85.00,2.50,20.50,0.80,0.00,0.00
Corn bread,1,slice,50,100.00,3.00,15.00,0.30,4.00,2.00
"Corn grits, cooked",0.5,cup,121,60.00,4.00,13.50,0.10,0.00,0.00
"Corn meal, yellow",0.5,cup,59,180.00,4.50,37.00,0.80,2.00,1.00
"corn oil, peanut oil, soy oil or cottonseed",1,tablespoon,14,125.00,0.00,0.00,0.00,14.00,5.00
"Corn, steamed,",1,piece,100,92.00,3.00,21.00,0.80,1.00,0.00
Corned beef,1,tablespoon,14,30.47,3.62,0.00,0.00,1.65,1.48
"Corned beef hash, canned",1,tablespoon,14,19.76,1.98,0.99,0.00,1.32,1.15
Cornflakes,0.5,cup,12.5,55.00,1.00,12.50,0.05,0.00,0.00
"Cow milk, whole",0.5,cup,100,67.62,3.28,4.92,0.00,4.10,3.69
"Cowâ milk, skim",0.5,cup,100,36.59,3.66,5.28,0.00,0.00,0.00
"Crab meat, cooked",1,piece,112,118.59,18.48,1.28,0.00,2.64,0.00
"Crackers, graham",1,piece,7,27.50,0.50,5.00,0.00,0.50,0.00
"Cranberry sauce, sweetened",0.5,cup,138.5,265.00,0.00,71.00,0.60,0.00,0.00
Cream cheese,0.5,cup,56,210.00,4.00,2.00,0.00,22.00,20.00
"Cream soups (asparagus, celery, etc.)",0.5,cup,127.5,100.00,3.50,9.00,0.60,6.00,5.50
"Cream, heavy, or whipping",0.5,cup,119,430.00,2.00,3.00,1.00,44.00,27.00
"Cream, light, or half-and-half",0.5,cup,120,170.00,4.00,5.00,0.00,15.00,13.00
Cucumbers,1,piece,6.25,0.75,0.00,0.13,0.03,0.00,0.00
Cupcake with icing,1,piece,50,160.00,3.00,31.00,0.00,3.00,2.00
"Dandelion greens, steamed",0.5,cup,90,40.00,2.50,8.00,1.60,0.50,0.00
"Dates, dried",0.5,cup,89,252.50,2.00,67.00,1.80,0.00,0.00
"Doughnuts, cake type",1,piece,33,135.00,2.00,17.00,0.00,7.00,4.00
"Duck, domestic",1,piece,112,414.40,17.92,0.00,0.00,31.36,0.00
"Eggplant, steamed",0.5,cup,90,15.00,1.00,4.50,0.50,0.00,0.00
"Eggs, boiled, poached, or raw",1,piece,50,75.00,6.00,0.00,0.00,6.00,5.00
"Eggs, Scrambled, omelet, or fried",1,piece,64,110.00,6.50,0.50,0.00,8.00,7.00
"Eggs, Yolks only",1,piece,17,60.00,3.00,0.00,0.00,5.00,4.00
Endive (escarole),1,piece,112,19.65,2.00,3.92,1.20,0.00,0.00
"European, as Muscat, Tokay",0.5,cup,80,50.00,0.50,13.00,0.35,0.00,0.00
"Evaporated, undiluted",0.5,cup,126,172.50,8.00,12.00,0.00,10.00,9.00
Farina,0.5,cup,119,52.50,1.50,11.00,4.00,0.00,0.00
"Figs, dried, large, 2 inch by 1 inch",1,piece,21,60.00,1.00,15.00,0.95,0.00,0.00
"Figs, fresh, raw",1,piece,38,30.00,0.67,7.33,0.33,0.00,0.00
"Figs, stewed or canned with syrup",1,piece,12.67,14.32,0.22,2.44,0.11,0.00,0.00
"Fish, fried, breaded fish",1,piece,22.4,40.00,3.80,1.60,0.00,2.00,1.00
"Flounder, baked",1,piece,112,224.00,33.60,0.00,0.00,8.96,0.00
"Flour, soy, full fat",0.5,cup,55,230.00,19.50,16.50,1.45,11.00,0.00
"Flour, Wheat (all purpose)",0.5,cup,55,200.00,6.00,42.00,0.15,0.50,0.00
"Flour, Wheat (whole)",0.5,cup,60,195.00,6.50,39.50,1.40,1.00,0.00
Fortified milk,0.5,cup,118.5,114.66,7.42,9.92,0.12,3.50,1.92
French salad dressing,1,tablespoon,15,60.00,0.00,2.00,0.00,6.00,2.00
French-fried potatoes,1,piece,6,15.50,0.10,2.00,0.04,0.70,0.30
"Fresh, raw",0.5,cup,57,32.50,0.50,7.50,0.40,0.00,0.00
"Fresh, steamed peas",0.5,cup,50,35.00,2.50,6.00,1.10,0.00,0.00
Fruit cake,1,slice,30,105.00,2.00,17.00,0.20,4.00,3.00
Fruit-flavored soda,0.5,cup,120,55.84,0.00,14.57,0.00,0.00,0.00
"Fudge, plain",1,piece,45,185.00,0.00,40.00,0.05,6.00,5.50
"Gelatin, made with water",0.5,cup,119.5,77.50,2.00,18.00,0.00,0.00,0.00
"Gin, rum, vodka, whiskey",1,tablespoon,14,35.00,0.00,0.00,0.00,0.00,0.00
Ginger ale,0.5,cup,120,36.42,0.00,9.71,0.00,0.00,0.00
Gingerbread,1,slice,55,180.00,2.00,28.00,0.00,7.00,6.00
"Goat milk, fresh",0.5,cup,122,82.50,4.00,5.50,0.00,5.00,4.00
"Grape juice, bottled",0.5,cup,125,80.00,0.50,21.00,0.00,0.00,0.00
Grapefruit juice,0.5,cup,125,50.00,0.50,12.00,0.50,0.00,0.00
"Grapefruit, canned",0.5,cup,125,85.00,0.50,22.00,0.25,0.00,0.00
"Grapefruit, fresh, 5 inch diameter",1,piece,285,50.00,1.00,14.00,1.00,0.00,0.00
"Grapes, American, as Concord",0.5,cup,76.5,35.00,0.50,8.00,0.40,0.00,0.00
"Haddock, fried",1,piece,112,177.88,21.12,7.92,0.00,6.56,5.28
"Halibut, broiled",1,piece,112,203.84,29.12,0.00,0.00,8.96,0.00
"Ham, canned, spiced",1,piece,112,324.21,15.68,2.00,0.00,27.52,23.60
"Ham, cured",1,piece,112,334.04,25.52,0.00,0.00,25.52,21.60
"Ham, cured, and pan-broiled",1,piece,112,382.12,21.12,0.00,0.00,28.96,25.04
Hard candies,1,piece,14,45.00,0.00,14.00,0.00,0.00,0.00
"Herring, kippered",1,piece,100,211.00,22.00,0.00,0.00,13.00,0.00
"Honey, strained honey, strained",1,tablespoon,21,60.00,0.00,15.00,0.00,0.00,0.00
Hydrogenated cooking fat,0.5,cup,100,665.00,0.00,0.00,0.00,100.00,88.00
"Ice cream, commercial",0.5,cup,94,150.00,3.00,14.50,0.00,9.00,8.00
"Ice milk, commercial",0.5,cup,95,137.50,4.50,16.00,0.00,5.00,4.50
Iceberg lettuce,1,piece,400,52.00,0.00,12.00,2.00,0.00,0.00
"Ices, lime, orange, etc.",0.5,cup,75,58.50,0.00,24.00,0.00,0.00,0.00
"Jams, marmalades, preserves",1,tablespoon,20,55.00,0.00,14.00,0.00,0.00,0.00
Jellies,1,tablespoon,20,50.00,0.00,13.00,0.00,0.00,0.00
"Kale, steamed",0.5,cup,55,22.50,2.00,4.00,0.45,0.50,0.00
"Kohlrabi, raw, sliced",0.5,cup,70,20.00,1.00,4.50,0.75,0.00,0.00
"Lamb, chop, broiled",1,piece,112,467.48,23.36,0.00,0.00,34.08,32.16
"Lamb, Leg roasted",1,piece,112,408.93,26.08,0.00,0.00,18.24,18.24
"Lamb, Shoulder, braised",1,piece,112,375.53,23.68,0.00,0.00,30.32,27.68
"Lambs quarters, steamed",0.5,cup,75,24.00,2.50,3.50,1.60,0.00,0.00
Lard,0.5,cup,110,992.00,0.00,0.00,0.00,110.00,92.00
"Lemon juice, fresh",0.5,cup,125,30.00,0.00,10.00,0.00,0.00,0.00
"Lemonade concentrate, frozen",1,tablespoon,18.33,35.83,0.00,9.33,0.00,0.00,0.00
Lentils,0.5,cup,100,106.00,7.50,19.00,1.20,0.00,0.00
"Lettuce, loose leaf, green",1,piece,400,56.00,4.00,8.00,2.00,0.00,0.00
"Lima, dry, cooked",0.5,cup,96,130.00,8.00,24.00,1.00,0.00,0.00
"Lima, green",0.5,cup,80,70.00,4.00,12.00,1.50,0.00,0.00
"Lobster, steamed",1,piece,100,92.00,18.00,0.00,0.00,1.00,0.00
"Macaroni, Baked with cheese",0.5,cup,110,237.50,9.00,22.00,0.00,12.50,12.00
"Macaroni, cooked",0.5,cup,70,77.50,2.50,16.00,0.05,0.50,0.00
"Mackerel, canned",1,piece,112,204.24,23.68,0.00,0.00,11.84,0.00
Malted milk Cocoa,0.5,cup,126,117.50,4.00,13.00,0.00,5.50,5.00
Margarine,1,tablespoon,14,100.75,0.00,0.00,0.00,11.00,9.00
"Marshmallows, large",1,piece,6,19.60,0.20,4.60,0.00,0.00,0.00
Mashed potatoes with milk and butter,0.5,cup,100,115.00,2.00,14.00,0.35,6.00,5.50
Mayonnaise,1,tablespoon,15,110.00,0.00,0.00,0.00,12.00,5.00
Milk chocolate,1,piece,14,72.50,0.50,11.00,0.05,1.50,1.50
Milk pudding (cornstarch),0.5,cup,124,137.50,4.50,20.00,0.00,5.00,4.50
"Milk pudding Custard, baked",0.5,cup,124,142.50,6.50,14.00,0.00,7.00,5.50
"Molasses, blackstrap",1,tablespoon,20,45.00,0.00,11.00,8.00,0.00,0.00
Muffins of refined flour,1,piece,48,135.00,4.00,19.00,0.00,5.00,4.00
"Mushrooms, cooked or canned",1,piece,30,3.00,0.50,1.00,0.00,0.00,0.00
"Mustard greens, steamed",1,piece,140,30.00,3.00,6.00,1.20,0.00,0.00
"Navy, baked with pork",0.5,cup,133.33,166.66,7.33,24.67,1.33,4.00,4.00
"Noodle, rice, barley soup",0.5,cup,125,57.50,3.00,6.50,0.10,2.00,1.50
Noodles,0.5,cup,80,100.00,3.50,18.50,0.05,1.00,1.00
"Oatmeal, or rolled oats",0.5,cup,118,75.00,2.50,13.00,2.30,1.50,1.00
"Okra, diced, steamed",0.5,cup,37.59,12.03,0.38,2.63,0.38,0.00,0.00
Olive oil,1,tablespoon,14,125.00,0.00,0.00,0.00,14.00,3.00
"Olives, green, canned, large",1,piece,6.5,7.20,0.10,0.30,0.08,1.00,0.90
"Onions, mature cooked",1,piece,210,80.00,2.00,18.00,1.60,0.00,0.00
"Orange juice, fresh",1,tablespoon,15.63,7.00,0.13,1.56,0.01,0.00,0.00
"Oranges, fresh, 3 inch diameter",1,piece,180,60.00,2.00,16.00,1.00,0.00,0.00
"Oyster stew, with milk",0.5,cup,115,100.00,5.50,5.50,0.00,6.00,0.00
"Oysters, raw",1,piece,14,1.32,0.49,0.00,0.33,0.00,0.00
"Pancakes, buckwheat, 4 inch diam",1,piece,27,62.50,1.75,7.00,0.03,2.25,0.00
"Pancakes, wheat, 4 inch diam.",1,piece,27,62.50,1.75,7.00,0.03,2.25,0.00
"Papaya, fresh",1,slice,100,37.50,0.50,9.00,0.90,0.00,0.00
"Parsley, chopped, raw",1,tablespoon,25,1.00,0.00,0.00,0.00,0.00,0.00
"Parsnips, steamed",0.5,cup,77.5,47.50,1.00,11.00,1.50,0.50,0.00
"Peaches, canned, sliced",0.5,cup,128.5,100.00,0.50,26.00,0.50,0.00,0.00
"Peanut butter, commercial",0.5,cup,75,450.00,18.00,13.50,1.35,37.50,25.50
"Peanut butter, natural",0.5,cup,75,426.00,19.50,12.00,1.35,36.00,15.00
"Peanuts, roasted",0.5,cup,75,435.00,19.50,13.50,1.80,37.50,24.00
Pears Raw,1,piece,182,15.00,1.00,25.00,2.00,1.00,0.00
"Pears, canned, sweetened",0.5,cup,127.5,97.50,0.50,25.00,1.00,0.00,0.00
"Peas, green, canned",0.5,cup,50,33.00,1.50,6.50,0.05,0.00,0.00
"Pecans, raw, halves",0.5,cup,78,514.50,7.50,10.50,1.65,52.50,37.50
